book_id,authors,original_title,image_url
2767052,Suzanne Collins,The Hunger Games,https://images.gr-assets.com/books/1447303603m/2767052.jpg
3,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg
41865,Stephenie Meyer,Twilight,https://images.gr-assets.com/books/1361039443m/41865.jpg
2657,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg
4671,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg
11870085,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg
5907,J.R.R. Tolkien,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500m/5907.jpg
5107,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg
960,Dan Brown,Angels & Demons ,https://images.gr-assets.com/books/1303390735m/960.jpg
1885,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg
77203,Khaled Hosseini,The Kite Runner ,https://images.gr-assets.com/books/1484565687m/77203.jpg
13335037,Veronica Roth,Divergent,https://images.gr-assets.com/books/1328559506m/13335037.jpg
5470,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566m/5470.jpg
7613,George Orwell,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542m/7613.jpg
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407m/48855.jpg
2429135,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566m/2429135.jpg
6148028,Suzanne Collins,Catching Fire,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg
34,J.R.R. Tolkien, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339m/34.jpg
7260188,Suzanne Collins,Mockingjay,https://images.gr-assets.com/books/1358275419m/7260188.jpg
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547m/2.jpg
12232938,Alice Sebold,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg
15881,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg
6,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg
136251,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg
968,Dan Brown,The Da Vinci Code,https://images.gr-assets.com/books/1303252999m/968.jpg
1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg
7624,William Golding,Lord of the Flies ,https://images.gr-assets.com/books/1327869409m/7624.jpg
18135,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
8442457,Gillian Flynn,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
4667024,Kathryn Stockett,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
890,John Steinbeck,Of Mice and Men ,https://images.gr-assets.com/books/1437235233m/890.jpg
930,Arthur Golden,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10818853,E.L. James,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843m/10818853.jpg
865,"Paulo Coelho, Alan R. Clarke",O Alquimista,https://images.gr-assets.com/books/1483412266m/865.jpg
3636,Lois Lowry,The Giver,https://images.gr-assets.com/books/1342493368m/3636.jpg
100915,C.S. Lewis,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077m/100915.jpg
14050,Audrey Niffenegger,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg
13496,George R.R. Martin,A Game of Thrones,https://images.gr-assets.com/books/1436732693m/13496.jpg
19501,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414m/19501.jpg
28187,Rick Riordan,The Lightning Thief,https://images.gr-assets.com/books/1400602609m/28187.jpg
1934,Louisa May Alcott,Little Women,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10210,"Charlotte Brontë, Michael Mason",Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg
15931,Nicholas Sparks,The Notebook,https://images.gr-assets.com/books/1385738917m/15931.jpg
4214,Yann Martel,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg
43641,Sara Gruen,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg
